size      list       map
   10000 0.0132447 0.0003400
   30000 0.0103737 0.0002615
   50000 0.0170554 0.0002599
   70000 0.0235788 0.0002511
   90000 0.0344668 0.0002461
  110000 0.0424414 0.0000826
  130000 0.0508399 0.0000813
  150000 0.0512685 0.0003223
  170000 0.0677418 0.0001202
  190000 0.0719116 0.0000857
  210000 0.0800703 0.0000908
  230000 0.0878572 0.0000907
  250000 0.0994619 0.0001079
  270000 0.1054850 0.0000973
  290000 0.1217563 0.0000942
  310000 0.1367475 0.0001050
  330000 0.1488640 0.0000947
  350000 0.1520249 0.0000987
  370000 0.1626776 0.0000978
  390000 0.1751304 0.0001004
  410000 0.1928060 0.0001003
  430000 0.2092208 0.0001012
  450000 0.2174275 0.0001169
  470000 0.2387484 0.0001018
  490000 0.2521878 0.0001101
  510000 0.2692332 0.0001170
  530000 0.2758553 0.0001005
  550000 0.2844862 0.0001390
  570000 0.2968974 0.0001536
  590000 0.3388183 0.0001059
  610000 0.3571834 0.0001213
  630000 0.3544842 0.0001079
  650000 0.3699421 0.0001034
  670000 0.4117380 0.0001150
  690000 0.4169585 0.0001195
  710000 0.4113472 0.0001102
  730000 0.4519632 0.0001582
  750000 0.4601304 0.0001480
  770000 0.4687890 0.0001098
  790000 0.5155724 0.0001110
  810000 0.5125278 0.0001228
  830000 0.5121677 0.0001115
  850000 0.5640476 0.0001223
  870000 0.5298160 0.0001410
  890000 0.5797913 0.0001246
  910000 0.5428566 0.0001114
  930000 0.6086418 0.0001570
  950000 0.5838483 0.0001126
  970000 0.6165844 0.0001254
  990000 0.6492486 0.0001335
